season,discipline,contest_year,number_of_olympics,gold_medals,silver_medals,bronze_medals
Summer,Basque pelota,1900,1,1,0,0
Summer,Breaking,2024,1,2,2,2
Summer,Croquet,1900,1,3,2,2
Summer,Jeu de paume,1908,1,1,1,1
Summer,Karate,2020,1,8,8,16
Summer,Polo,1936,5,5,6,5
Summer,Rackets,1908,1,2,2,3
Summer,Roque,1904,1,1,1,1
Summer,Tug of war,1920,5,5,5,3
Summer,Water motorsports,1908,1,3,0,0
Summer,Polo,1924,5,5,6,5
Summer,Tug of war,1900,5,5,5,3
Summer,Polo,1920,5,5,6,5
Summer,Polo,1908,5,5,6,5
Summer,Polo,1900,5,5,6,5
