medalist,age,sport,title,details
Ailing Eileen Gu,18.43,Freestyle skiing,Youngest freestyle skiing medalist,
Ailing Eileen Gu,18.43,Freestyle skiing,Youngest freestyle skiing gold medalist,
Ailing Eileen Gu,18.43,Freestyle skiing,Youngest female freestyle skiing medalist,
Ailing Eileen Gu,18.43,Freestyle skiing,Youngest female freestyle skiing gold medalist,"At the 2022 Winter Olympics , Ailing Eileen Gu became the youngest freestyle skiing gold medalist. In the women's big air, she finished the first with an astonishing score, 188.25."
Dara Torres,41.0,Swimming,Oldest swimming medalist,Torres won silver for the women's 4x100 freestyle team relay as anchor at the 2008 Summer Olympics .
Dara Torres,41.0,Swimming,Oldest female swimming medalist,
Duff Gibson,39.0,Skeleton,Oldest skeleton gold medalist,
Duff Gibson,39.0,Skeleton,Oldest male skeleton gold medalist,"At the 2006 Winter Olympics , Duff Gibson became the oldest Winter Games gold medalist by winning gold in skeleton. He has subsequently been eclipsed as the oldest gold medalist at the Winter Games."
Ellina Zvereva,39.0,Athletics,Oldest female athletics gold medalist,"At the 2000 Summer Olympics , she won gold for the discus throw."
Felix Loch,20.0,Luge,Youngest luge gold medalist,
Felix Loch,20.0,Luge,Youngest male luge gold medalist,"At the 2010 Winter Olympics , he became the youngest ever Olympic luge gold medalist."
Kristin Armstrong,42.0,Cycling,Oldest cycling gold medalist,"At the 2012 Summer Olympics , she became the oldest cycling gold medalist, when she won the women's road time trial race, defending her gold medal from Beijing 2008. She repeated her success at the 2016 Summer Olympics , winning third gold in a row and setting a new record."
Kristin Armstrong,42.0,Cycling,Oldest female cycling gold medalist,
Merlene Ottey,40.0,Athletics,Oldest female athletics medalist,"At the 2000 Summer Olympics , she won bronze in the women's 100m dash."
Ole Einar Bjørndalen,40.0,Biathlon,Oldest male biathlon medalist,
Ole Einar Bjørndalen,40.0,Biathlon,Oldest biathlon gold medalist,
Ole Einar Bjørndalen,40.0,Biathlon,Oldest biathlon medalist,
Ole Einar Bjørndalen,40.0,Biathlon,Oldest male biathlon gold medalist,"At 2014 Winter Olympics , Ole Einar Bjørndalen won gold at the 10 km sprint biathlon event, tying the record number of total medals in the Winter Olympics at 12, along with Bjørn Dæhlie , and becoming the oldest Winter Olympics medalist at age 40."
Pat McDonald,42.0,Athletics,Oldest athletics gold medalist,
Pat McDonald,42.0,Athletics,Oldest male athletics gold medalist,"At the 1920 Summer Olympics , he won the men's 56 lbs toss."
Santiago Lange,54.0,Sailing,Oldest male sailing gold medalist,Lange won gold for the Nacra 17 at the 2016 Summer Olympics .
Terence Lloyd Johnson,48.0,Athletics,Oldest athletics medalist,
Terence Lloyd Johnson,48.0,Athletics,Oldest male athletics medalist,"At the 1948 Summer Olympics , he won bronze in the men's 50 km walk."
William Robinson,38.0,Swimming,Oldest male swimming medalist,Robinson won silver for the men's 200m breaststroke at the 1908 Summer Olympics .
