discipline,contestes,number_of_olympics,number_of_medals,number_of_gold_medals,number_of_silver_medals,number_of_bronze_medals,total,athlete_with_most_medals,athlete_with_most_gold_medals
Archery,1900–1908; 1920; since 1972,18,5,76,74,66,216,Hubert van Innis (BEL) (6–3–0),Hubert van Innis (BEL) (6–3–0)
Artistic swimming,Since 1984,11,2,22,20,21,63,Svetlana Romashina (RUS) (7–0–0) Huang Xuechen (CHN) (0–5–2),Svetlana Romashina (RUS) (7–0–0)
"Athletics(men, women)",Since 1896,30,48,1075,1084,1073,3232,Paavo Nurmi (FIN) (9–3–0),Paavo Nurmi (FIN) (9–3–0) Carl Lewis (USA) (9–1–0)
Badminton,Since 1992,9,5,44,44,48,136,Gao Ling (CHN) (2–1–1),Gao Ling (CHN) (2–1–1) Fu Haifeng (CHN) (2–1–0) Viktor Axelsen (DEN) (2–0–1) Kim Dong-moon (KOR) (2–0–1) Zhang Nan (CHN) (2–0–1) Zhao Yunlei (CHN) (2–0–1) Ge Fei (CHN) (2–0–0) Gu Jun (CHN) (2–0–0) Lee Yang (TPE) (2–0–0) Lin Dan (CHN) (2–0–0) Wang Chi-lin (TPE) (2–0–0) Zhang Jun (CHN) (2–0–0) Zhang Ning (CHN) (2–0–0)
Baseball and  Softball,1992–2008; 2020; 2028,6,0,11,11,11,33,Pedro Luis Lazo (CUB) (2–2–0) Laura Berg (USA) (3–0–1) Tanya Harding (AUS) (0–1–3) Melanie Roche (AUS) (0–1–3) Natalie Ward (AUS) (0–1–3),Laura Berg (USA) (3–0–1) Lisa Fernandez (USA) (3–0–0) Lori Harrigan (USA) (3–0–0) Leah O'Brien (USA) (3–0–0)
Basketball,Since 1936,21,4,34,34,34,102,Diana Taurasi (USA) (6–0–0),Diana Taurasi (USA) (6–0–0)
Boxing,1904; 1908;1920–Present,25,13,226,226,389,841,,
"Canoeing  and Kayaking(men, women)",Since 1936,21,16,258,258,260,776,Birgit Fischer (GER) (8–4–0),Birgit Fischer (GER) (8–4–0) Lisa Carrington (NZL) (8–0–1)
Cricket,"1900, 2028",1,0,1,1,0,2,see list,see list
"Cycling(men, women)",Since 1896,30,22,305,304,298,907,Jason Kenny (GBR) (7–2–0),Jason Kenny (GBR) (7–2–0)
Diving,Since 1904,28,8,138,138,139,405,Dmitri Sautin (RUS) (2–2–4),Wu Minxia (CHN) (5–1–1) Chen Ruolin (CHN) (5–0–0)
Equestrian,1900;since 1912,28,6,159,157,157,473,Isabell Werth (GER) (8–6–0),Isabell Werth (GER) (8–6–0)
"Fencing(men, women)",Since 1896,30,12,235,235,234,704,Edoardo Mangiarotti (ITA) (6–5–2),Aladár Gerevich (HUN) (7–1–2)
Field hockey,1908; 1920;since 1928,25,2,37,37,38,112,Leslie Claudius (IND) (3–1–0) Udham Singh (IND)  (3–1–0)  Eva de Goede (NED) (3–1–0)  Teun de Nooijer (NED) (2–2–0)  Luciana Aymar (ARG) (0–2–2),"Leslie Claudius (IND) (3–1–0) Udham Singh (IND) (3–1–0)  Eva de Goede (NED) (3–1–0) Richard Allen (IND) (3–0–0) Dhyan Chand (IND) (3–0–0) Ranganandhan Francis (IND) (3–0–0) Randhir Singh Gentle (IND) (3–0–0) Rechelle Hawkes (AUS) (3–0–0) Balbir Singh, Sr. (IND) (3–0–0)"
Football,1900–1928;since 1936,29,2,36,36,38,110,Christie Rampone (USA) (3–1–0),Christie Rampone (USA) (3–1–0) Shannon Boxx (USA) (3–0–0) Heather Mitts (USA) (3–0–0) Heather O'Reilly (USA) (3–0–0)
Golf,1900–1904;since 2016,5,2,10,10,11,31,Lydia Ko (NZL) (1–1–1),see list
"Gymnastics(men, women)",Since 1896,30,18,392,372,378,1142,Larisa Latynina (URS) (9–5–4),Larisa Latynina (URS) (9–5–4)
"Handball(men, women)",1936;since 1972,15,2,28,28,28,84,Katrine Lunde (NOR) (3–0–2),Nikola Karabatić (FRA) (3–1–0) Katrine Lunde (NOR) (3–0–2) Andrey Lavrov (RUS) (3–0–1)
Judo,1964;since 1972,15,15,167,166,334,667,Teddy Riner (FRA) (5–0–2),Teddy Riner (FRA) (5–0–2)
Lacrosse,"1904–1908, 2028",2,0,2,2,1,5,see list,see list
Modern pentathlon,Since 1912,26,2,44,44,44,132,Pavel Lednyov (URS) (2–2–3),András Balczó (HUN) (3–2–0)
"Rowing(men, women)",Since 1900,29,14,282,282,286,850,Elisabeta Lipă (ROU) (5–2–1),Elisabeta Lipă (ROU) (5–2–1) Georgeta Damian (ROU) (5–0–1) Steve Redgrave (GBR) (5–0–1)
Rugby,1900; 1908;1920; 1924; (Rugby sevens from 2016),7,2,10,11,7,28,Theresa Fitzpatrick (NZL) (2–1–0) Sarah Hirini (NZL) (2–1–0) Tyla King (NZL) (2–1–0) Jerry Tuwai (FIJ) (2–1–0) Portia Woodman (NZL) (2–1–0),"Theresa Fitzpatrick (NZL) (2–1–0) Sarah Hirini (NZL) (2–1–0) Tyla King (NZL) (2–1–0) Jerry Tuwai (FIJ) (2–1–0) Portia Woodman (NZL) (2–1–0) Michaela Blyde (NZL) (2–0–0)/ Daniel Carroll (USA)/(AUS) (2–0–0) Charles Doe (USA) (2–0–0) Joseph Hunter (USA) (2–0–0) Charles Lee Tilden, Jr. (USA) (2–0–0) Charles Mehan (USA) (2–0–0) John O'Neil (USA) (2–0–0) John Patrick (USA) (2–0–0) Risi Pouri-Lane (NZL) (2–0–0) Alena Saili (NZL) (2–0–0) Rudolph Scholz (USA) (2–0–0) Colby Slater (USA) (2–0–0) Stacey Waaka (NZL) (2–0–0)"
Sailing,1900;since 1908,29,10,205,197,190,592,Ben Ainslie (GBR) (4–1–0) Robert Scheidt (BRA) (2–2–1) Torben Grael (BRA) (2–1–2),Ben Ainslie (GBR) (4–1–0) Paul Elvstrøm (DEN) (4–0–0)
Shooting,1896; 1900;1908–1924;since 1932,28,15,302,303,301,906,Carl Osburn (USA) (5–4–2),Carl Osburn (USA) (5–4–2) Willis Augustus Lee (USA) (5–1–1) Ole Lilloe-Olsen (NOR) (5–1–0) Alfred Lane (USA) (5–0–1) Morris Fisher (USA) (5–0–0)
Skateboarding,Since 2020,2,4,8,8,8,24,Yuto Horigome (JPN) (2–0–0) Keegan Palmer (AUS) (2–0–0) Kokona Hiraki (JPN) (0–2–0) Rayssa Leal (BRA) (0–1–1) Jagger Eaton (USA) (0–1–1) Sky Brown (GBR) (0–0–2),Yuto Horigome (JPN) (2–0–0) Keegan Palmer (AUS) (2–0–0)
Sport climbing,Since 2020,2,4,6,6,6,18,Janja Garnbret (SLO) (2–0–0) Jakob Schubert (AUT) (0–0–2),Janja Garnbret (SLO) (2–0–0)
Surfing,Since 2020,2,2,4,4,4,12,see list,Italo Ferreira (BRA) (1–0–0) Kauli Vaast (FRA) (1–0–0) Carissa Moore (USA) (1–0–0) Caroline Marks (USA) (1–0–0)
"Swimming(men, women)",Since 1896,30,37,633,632,631,1896,Michael Phelps (USA) (23–3–2),Michael Phelps (USA) (23–3–2)
Table tennis,Since 1988,10,5,42,42,46,130,Ma Long (CHN) (6–0–0) Dimitrij Ovtcharov (GER) (0–2–4),Ma Long (CHN) (6–0–0)
Taekwondo,Since 2000,7,8,56,56,96,208,Hwang Kyung-seon (KOR) (2–0–1) Steven López (USA) (2–0–1) Hadi Saei (IRI) (2–0–1) Panipak Wongpattanakit (THA) (2–0–1) María Espinoza (MEX) (1–1–1),Hwang Kyung-seon (KOR) (2–0–1) Steven López (USA) (2–0–1) Hadi Saei (IRI) (2–0–1) Panipak Wongpattanakit (THA) (2–0–1) Chen Zhong (CHN) (2–0–0) Jade Jones (GBR) (2–0–0) Milica Mandić (SRB) (2–0–0) Ulugbek Rashitov (UZB) (2–0–0) Wu Jingyu (CHN) (2–0–0)
Tennis,1896–1924;since 1988,17,5,76,76,91,243,Venus Williams (USA) (4–1–0) Kitty McKane (GBR) (1–2–2),Venus Williams (USA) (4–1–0) Serena Williams (USA) (4–0–0)
Triathlon,Since 2000,7,2,16,16,16,48,Alex Yee (GBR) (2–1–1),Alex Yee (GBR) (2–1–1) Alistair Brownlee (GBR) (2–0–0)
Volleyball,Since 1964,16,4,48,48,48,144,Ana Fernández (CUB) (3–0–1) Inna Ryskal (URS) (2–2–0) Sérgio Santos (BRA) (2–2–0) Jordan Larson (USA) (1–2–1) Sergey Tetyukhin (RUS) (1–1–2) Samuele Papi (ITA) (0–2–2) Kerri Walsh Jennings (USA) (3–0–1),Ana Fernández (CUB) (3–0–1) Regla Bell (CUB) (3–0–0) Marlenis Costa (CUB) (3–0–0) Idalmis Gato (CUB) (3–0–0) Lilia Izquierdo (CUB) (3–0–0) Karch Kiraly (USA) (3–0–0) Mireya Luis (CUB) (3–0–0) Regla Torres (CUB) (3–0–0) Kerri Walsh Jennings (USA) (3–0–1) Misty May-Treanor (USA) (3–0–0)
