games,medal_winners,medal_table,host,number_medal_events,number_of_gold_medals,number_of_silver_medals,number_of_bronze_medals,total,athlete_with_most_medals,athlete_with_most_gold_medals
1896,winners,table,"Athens, Greece",43,43,43,36,122,Hermann Weingärtner (GER) (3–2–1),Carl Schuhmann (GER) (4–0–0)
1900,winners,table,"Paris, France",95[d],96,95,93,284,Irving Baxter (USA) (2–3–0) Walter Tewksbury (USA) (2–2–1),Alvin Kraenzlein (USA) (4–0–0)
1904,winners,table,"St. Louis, United States",95[e],96,96,93,285,Anton Heida (USA) (5–1–0) George Eyser (USA) (3–2–1) Burton Downing (USA) (2–3–1),Anton Heida (USA) (5–1–0)
1908,winners,table,"London, United Kingdom",110,110,107,107,324,Mel Sheppard (USA) (3–0–0) Henry Taylor (GBR) (3–0–0) Benjamin Jones (GBR) (2–1–0) Oscar Swahn (SWE) (2–0–1) Martin Sheridan (USA) (2–0–1) Josiah Ritchie (GBR) (1–1–1) Ted Ranken (GBR) (0–3–0),Mel Sheppard (USA) (3–0–0) Henry Taylor (GBR) (3–0–0)
1912,winners,table,"Stockholm, Sweden",102,103,104,103,310,Vilhelm Carlberg (SWE) (3–2–0),Vilhelm Carlberg (SWE) (3–2–0) Hannes Kolehmainen (FIN) (3–1–0) Alfred Lane (USA) (3–0–0)
1920,winners,table,"Antwerp, Belgium",156[f],156,147,136,439,Willis Lee (USA) (5–1–1) Lloyd Spooner (USA) (4–1–2),Willis Lee (USA) (5–1–1) Nedo Nadi (ITA) (5–0–0)
1924,winners,table,"Paris, France",126,126,127,125,378,Ville Ritola (FIN) (4–2–0),Paavo Nurmi (FIN) (5–0–0)
1928,winners,table,"Amsterdam, Netherlands",109,110,108,109,327,Georges Miez (SUI) (3–1–0) Hermann Hänggi (SUI) (2–1–1),Georges Miez (SUI) (3–1–0)
1932,winners,table,"Los Angeles, United States",116,116,116,114,346,István Pelle (HUN) (2–2–0) Giulio Gaudini (ITA) 0–3–1) Heikki Savolainen (FIN) (0–1–3),Helene Madison (USA) (3–0–0) Romeo Neri (ITA) (3–0–0)
1936,winners,table,"Berlin, Germany",129,130,128,130,388,Konrad Frey (GER) (3–1–2),Jesse Owens (USA) (4–0–0)
1948,winners,table,"London, United Kingdom",136,138,135,138,411,Veikko Huhtanen (FIN) (3–1–1),Fanny Blankers-Koen (NED) (4–0–0)
1952,winners,table,"Helsinki, Finland",149,149,152,158,459,Maria Gorokhovskaya (URS) (2–5–0),Viktor Chukarin (URS) (4–2–0)
1956,winners,table,"Melbourne, Australia Stockholm, Sweden[g]",151[h],153,153,163,469,Ágnes Keleti (HUN) (4–2–0) Larisa Latynina (URS) (4–1–1),Ágnes Keleti (HUN) (4–2–0) Larisa Latynina (URS) (4–1–1)
1960,winners,table,"Rome, Italy",150,152,149,160,461,Boris Shakhlin (URS) (4–2–1),Boris Shakhlin (URS) (4–2–1)
1964,winners,table,"Tokyo, Japan",163,163,167,174,504,Larisa Latynina (URS) (2–2–2),Don Schollander (USA) (4–0–0)
1968,winners,table,"Mexico City, Mexico",172,174,170,183,527,Mikhail Voronin (URS) (2–4–1),Věra Čáslavská (TCH) (4–2–0) Akinori Nakayama (JPN) (4–1–1)
1972,winners,table,"Munich, West Germany",195,195,195,210,600,Mark Spitz (USA) (7–0–0),Mark Spitz (USA) (7–0–0)
1976,winners,table,"Montreal, Quebec, Canada",198,198,199,216,613,Nikolai Andrianov (URS) (4–2–1),Nikolai Andrianov (URS) (4–2–1) Kornelia Ender (GDR) (4–1–0) John Naber (USA) (4–1–0)
1980,winners,table,"Moscow, Soviet Union",203,204,204,223,631,Alexander Dityatin (URS) (3–4–1),Alexander Dityatin (URS) (3–4–1) Caren Metschuck (GDR) (3–1–0) Barbara Krause (GDR) (3–0–0) Vladimir Parfenovich (URS) (3–0–0) Rica Reinisch (GDR) (3–0–0) Vladimir Salnikov (URS) (3–0–0)
1984,winners,table,"Los Angeles, United States",221,226,219,243,688,Li Ning (CHN) (3–2–1),Ecaterina Szabo (ROU) (4–1–0) Carl Lewis (USA) (4–0–0)
1988,winners,table,"Seoul, South Korea",237,241,234,264,739,Matt Biondi (USA) (5–1–1),Kristin Otto (GDR) (6–0–0)
1992,winners,table,"Barcelona, Spain",257,260,257,298,815,Vitaly Scherbo (EUN) (6–0–0),Vitaly Scherbo (EUN) (6–0–0)
