discipline,contestes,number_of_olympics,number_of_medals,number_of_gold_medals,number_of_silver_medals,number_of_bronze_medals,total,athlete_with_most_medals,athlete_with_most_gold_medals
Alpine skiing,Since 1936,22,10,175,178,171,524,Kjetil André Aamodt (NOR) (4–2–2),Kjetil André Aamodt (NOR) (4–2–2) Janica Kostelić (CRO) (4–2–0)
Biathlon,1924[a];since 1960,22,11,108,108,106,355,Ole Einar Bjørndalen (NOR) (8–4–2),Ole Einar Bjørndalen (NOR) (8–4–2)
Bobsleigh,1924–1956;since 1964,24,5,57,54,455,166,Bogdan Musioł (GDR) (1–5–1),Thorsten Margis (GER) (5–0–0)
Cross-country skiing,Since 1924,25,12,182,180,182,544,Marit Bjørgen (NOR) (8–4–3),Johannes Høsflot Klæbo (NOR) (11–1–1)
Curling,1924;since 1998,9,3,20,20,20,60,Agnes Knochenhauer (SWE) (2–1–1) Oskar Eriksson (SWE) (1–1–2),Agnes Knochenhauer (SWE) (2–1–1) Rasmus Wranå (SWE) (2–1–0) Anna Hasselborg (SWE) (2–0–1) Marc Kennedy (CAN) (2–0–1) Sara McManus (SWE) (2–0–1) Sofia Scharback (SWE) (2–0–1) Ben Hebert (CAN) (2–0–0) Brad Jacobs (CAN) (2–0–0) Kaitlyn Lawes (CAN) (2–0–0) Anna Le Moine (SWE) (2–0–0) Cathrine Lindahl (SWE) (2–0–0) Eva Lund (SWE) (2–0–0) John Morris (CAN) (2–0–0) Anette Norberg (SWE) (2–0–0)
Figure skating,Summer: 1908; 1920Winter: since 1924[b],25,5,101,100,100,301,Scott Moir (CAN) (3–2–0) Tessa Virtue (CAN) (3–2–0),Scott Moir (CAN) (3–2–0) Tessa Virtue (CAN) (3–2–0) Gillis Grafström (SWE) (3–1–0) Sonja Henie (NOR) (3–0–0) Irina Rodnina (URS) (3–0–0)
Freestyle skiing,Since 1992,10,15,73,73,74,220,Ailing Eileen Gu (CHN) (3–3–0),Ailing Eileen Gu (CHN) (3–3–0)
Ice hockey,Summer: 1920Winter: since 1924[c],25,2,34,34,34,102,Jayna Hefford (CAN) (4–1–0) Hayley Wickenheiser (CAN) (4–1–0) Marie-Philip Poulin (CAN) (3–2–0) Hilary Knight (USA) (2–3–0),Jayna Hefford (CAN) (4–1–0) Hayley Wickenheiser (CAN) (4–1–0) Caroline Ouellette (CAN) (4–0–0)
Luge,Since 1964,17,5,57,55,56,168,Tobias Arlt (GER) (7–0–1) Tobias Wendl (GER) (7–0–1),Tobias Arlt (GER) (7–0–1) Tobias Wendl (GER) (7–0–1)
Nordic combined,Since 1924,25,3,43,43,43,129,Eric Frenzel (GER) (3–2–2) Felix Gottwald (AUT) (3–1–3),Jørgen Graabak (NOR) (4–2–0) Jens Lurås Oftebro (NOR) (4–1–0)
Short track speed skating,Since 1992,11,9,74,74,74,222,Arianna Fontana (ITA) (3–6–5),Viktor Ahn (RUS) /  Ahn Hyun-soo (KOR) (6–0–2)
Skeleton,1924; 1948;since 2002,9,3,17,17,17,51,Christopher Grotheer (GER) (1–0–2) Axel Jungk (GER) (0–3–0) Jacqueline Pfeifer (GER) (0–1–2),Matt Weston (GBR) (2–0–0) Lizzy Yarnold (GBR) (2–0–0)
Ski jumping,Since 1924,25,6,60,61,60,181,Matti Nykänen (FIN) (4–1–0),Matti Nykänen (FIN) (4–1–0) Simon Ammann (SUI) (4–0–0)
Ski mountaineering,Since 2026,3,3,3,3,3,9,see list,see list
Snowboarding,Since 1998,8,11,62,62,62,186,Zoi Sadowski-Synnott (NZL) (1–3–1),Shaun White (USA) (3–0–0)
Speed skating,Since 1924,25,14,224,223,214,661,Ireen Wüst (NED) (6–5–1),Ireen Wüst (NED) (6–5–1) Lidiya Skoblikova (URS) (6–0–0)
